key,method,pca_components,neighbors,min_dist,seed,trustworthiness,knn_overlap,distance_spearman,population_silhouette,super_population_silhouette,outlier_jaccard,seed_disparity
umap_d25_s2024_n50_m0,UMAP,25,50.0,0.0,2024,0.9477346684643546,0.20947816826411075,0.7294632108638697,-0.10814362019300461,0.7226310968399048,0.11504424778761062,0.4555702100591307
umap_d25_s2025_n50_m0,UMAP,25,50.0,0.0,2025,0.9495071059755955,0.21432374866879658,0.5451619506084545,-0.12019528448581696,0.7192624807357788,0.125,0.4555702100591307
umap_d25_s2026_n50_m0,UMAP,25,50.0,0.0,2026,0.9488175737307477,0.2132055378061768,0.6188776253328975,-0.1195981428027153,0.7294847369194031,0.09565217391304348,0.4555702100591307
umap_d25_s2024_n50_m0.1,UMAP,25,50.0,0.1,2024,0.9469497574537733,0.20111821086261983,0.6013731491986376,-0.09674224257469177,0.7105728983879089,0.11504424778761062,0.05335001503229199
umap_d25_s2025_n50_m0.1,UMAP,25,50.0,0.1,2025,0.9465305759340745,0.2058572949946752,0.5721433923063661,-0.10281062871217728,0.7146892547607422,0.09565217391304348,0.05335001503229199
umap_d25_s2026_n50_m0.1,UMAP,25,50.0,0.1,2026,0.9466012085888965,0.20255591054313096,0.5909655984180368,-0.09598441421985626,0.7037911415100098,0.125,0.05335001503229199
umap_d25_s2024_n50_m0.5,UMAP,25,50.0,0.5,2024,0.9409016727340782,0.17393503727369541,0.48424895230952175,-0.07929206639528275,0.6310115456581116,0.11504424778761062,0.1344183783435412
umap_d25_s2025_n50_m0.5,UMAP,25,50.0,0.5,2025,0.9387821136054676,0.17175186368477102,0.5908486805992089,-0.08217718452215195,0.6366448402404785,0.11504424778761062,0.1344183783435412
umap_d25_s2026_n50_m0.5,UMAP,25,50.0,0.5,2026,0.9401311307792256,0.17124600638977636,0.6624452328394801,-0.07955820858478546,0.631534993648529,0.11504424778761062,0.1344183783435412
umap_d25_s2024_n100_m0,UMAP,25,100.0,0.0,2024,0.9459394057241853,0.19656549520766772,0.5562437747199809,-0.11187539249658585,0.7298513054847717,0.09565217391304348,0.37141716288592275
umap_d25_s2025_n100_m0,UMAP,25,100.0,0.0,2025,0.9464721660981286,0.19896166134185303,0.569804264625372,-0.12468376010656357,0.7235674858093262,0.07692307692307693,0.37141716288592275
umap_d25_s2026_n100_m0,UMAP,25,100.0,0.0,2026,0.9465344606227778,0.19771033013844513,0.823087639101793,-0.11519243568181992,0.7222408652305603,0.10526315789473684,0.37141716288592275
umap_d25_s2024_n100_m0.1,UMAP,25,100.0,0.1,2024,0.9455778292016128,0.1903887113951012,0.6183218332178533,-0.11119195073843002,0.709436297416687,0.08620689655172414,0.08903719843791146
umap_d25_s2025_n100_m0.1,UMAP,25,100.0,0.1,2025,0.9439372135578641,0.18780617678381256,0.5606159758016032,-0.11463625729084015,0.7081750631332397,0.09565217391304348,0.08903719843791146
umap_d25_s2026_n100_m0.1,UMAP,25,100.0,0.1,2026,0.9452244727661859,0.19030883919062833,0.5475437405124886,-0.10706156492233276,0.6943195462226868,0.10526315789473684,0.08903719843791146
umap_d25_s2024_n100_m0.5,UMAP,25,100.0,0.5,2024,0.9394648959354137,0.1618210862619808,0.5892324478868416,-0.08397883176803589,0.6377575397491455,0.10526315789473684,0.09770398099568792
umap_d25_s2025_n100_m0.5,UMAP,25,100.0,0.5,2025,0.9391490879137248,0.16216719914802982,0.5860836502353742,-0.08033820986747742,0.6412471532821655,0.09565217391304348,0.09770398099568792
umap_d25_s2026_n100_m0.5,UMAP,25,100.0,0.5,2026,0.9386918214210749,0.16198083067092653,0.6100050405805278,-0.08615706115961075,0.622768759727478,0.13513513513513514,0.09770398099568792
umap_d50_s2024_n5_m0,UMAP,50,5.0,0.0,2024,0.9314354697404212,0.20069222577209797,0.4851058492274045,-0.09652859717607498,0.7048238515853882,0.13513513513513514,0.10235270118260412
umap_d50_s2025_n5_m0,UMAP,50,5.0,0.0,2025,0.9325521460436914,0.20391373801916932,0.6659344058632896,-0.10205678641796112,0.7025511264801025,0.09565217391304348,0.10235270118260412
umap_d50_s2026_n5_m0,UMAP,50,5.0,0.0,2026,0.9325778901547394,0.20066560170394038,0.687790651112958,-0.0931384414434433,0.6892845630645752,0.13513513513513514,0.10235270118260412
umap_d50_s2024_n5_m0.1,UMAP,50,5.0,0.1,2024,0.9296249150626765,0.19132055378061769,0.5927240169932338,-0.08807890862226486,0.6697719097137451,0.13513513513513514,0.09257563641677406
umap_d50_s2025_n5_m0.1,UMAP,50,5.0,0.1,2025,0.9279665715025246,0.1873269435569755,0.5359409986975235,-0.09104074537754059,0.6723763346672058,0.1559633027522936,0.09257563641677406
umap_d50_s2026_n5_m0.1,UMAP,50,5.0,0.1,2026,0.9285587611749188,0.18982960596379125,0.7740849673061966,-0.08633933216333389,0.6635109782218933,0.11504424778761062,0.09257563641677406
umap_d50_s2024_n5_m0.5,UMAP,50,5.0,0.5,2024,0.9198006661060696,0.14345047923322685,0.7213233773239074,-0.07074873149394989,0.6033496260643005,0.10526315789473684,0.18820810328495913
umap_d50_s2025_n5_m0.5,UMAP,50,5.0,0.5,2025,0.9197611968103486,0.1431576144834931,0.6181798540780222,-0.07337946444749832,0.5985785126686096,0.16666666666666666,0.18820810328495913
umap_d50_s2026_n5_m0.5,UMAP,50,5.0,0.5,2026,0.9206383638120429,0.14371671991480298,0.7807124043649791,-0.06986984610557556,0.5776928067207336,0.13513513513513514,0.18820810328495913
umap_d50_s2024_n15_m0,UMAP,50,15.0,0.0,2024,0.932692134342408,0.18383919062832801,0.6305734545381095,-0.10859135538339615,0.7168149352073669,0.10526315789473684,0.05375799527256878
umap_d50_s2025_n15_m0,UMAP,50,15.0,0.0,2025,0.9340141089318222,0.18626198083067091,0.6349604727986656,-0.09975062310695648,0.7079054117202759,0.10526315789473684,0.05375799527256878
umap_d50_s2026_n15_m0,UMAP,50,15.0,0.0,2026,0.9338261415082636,0.18503727369542064,0.578553933285989,-0.10582223534584045,0.7200661897659302,0.09565217391304348,0.05375799527256878
umap_d50_s2024_n15_m0.1,UMAP,50,15.0,0.1,2024,0.9311342239357777,0.17196485623003194,0.5763988648672373,-0.08891291916370392,0.6820541024208069,0.10526315789473684,0.06732016963249711
umap_d50_s2025_n15_m0.1,UMAP,50,15.0,0.1,2025,0.9307414625917355,0.17542598509052182,0.5831482588601711,-0.09214141219854355,0.6973211169242859,0.10526315789473684,0.06732016963249711
umap_d50_s2026_n15_m0.1,UMAP,50,15.0,0.1,2026,0.9311072886632765,0.17627795527156548,0.6191451564752448,-0.09712646901607513,0.7053574919700623,0.07692307692307693,0.06732016963249711
umap_d50_s2024_n15_m0.5,UMAP,50,15.0,0.5,2024,0.9236035080670605,0.13927050053248136,0.6561578815580733,-0.07304848730564117,0.5983020067214966,0.10526315789473684,0.3790044165255565
umap_d50_s2025_n15_m0.5,UMAP,50,15.0,0.5,2025,0.9236787443999315,0.14307774227902023,0.6113882963458418,-0.07461436092853546,0.6297228932380676,0.10526315789473684,0.3790044165255565
umap_d50_s2026_n15_m0.5,UMAP,50,15.0,0.5,2026,0.9246366850255767,0.14265175718849837,0.546542591811818,-0.07091473788022995,0.5971326231956482,0.09565217391304348,0.3790044165255565
umap_d50_s2024_n50_m0,UMAP,50,50.0,0.0,2024,0.9313821894105532,0.16365814696485623,0.5767273266307394,-0.10680335760116577,0.7243430018424988,0.07692307692307693,0.0700215496584149
umap_d50_s2025_n50_m0,UMAP,50,50.0,0.0,2025,0.932248421335483,0.16368477103301385,0.5383252226808332,-0.1126449853181839,0.7227259278297424,0.10526315789473684,0.0700215496584149
umap_d50_s2026_n50_m0,UMAP,50,50.0,0.0,2026,0.9322817631249896,0.16128860489882854,0.5616204014007771,-0.10779205709695816,0.7247495055198669,0.09565217391304348,0.0700215496584149
umap_d50_s2024_n50_m0.1,UMAP,50,50.0,0.1,2024,0.9296426751726325,0.15508519701810436,0.5827648859715686,-0.10004051774740219,0.7110443115234375,0.09565217391304348,0.2806640738802111
umap_d50_s2025_n50_m0.1,UMAP,50,50.0,0.1,2025,0.9312910387314195,0.1545793397231097,0.6549967500147653,-0.08441044390201569,0.6917586922645569,0.13513513513513514,0.2806640738802111
umap_d50_s2026_n50_m0.1,UMAP,50,50.0,0.1,2026,0.9302550072778891,0.15737486687965918,0.6934933152123948,-0.08489523082971573,0.6894757747650146,0.09565217391304348,0.2806640738802111
umap_d50_s2024_n50_m0.5,UMAP,50,50.0,0.5,2024,0.924274861685766,0.13266773162939297,0.5777786514458301,-0.0709453895688057,0.6334728002548218,0.10526315789473684,0.11348330078551451
umap_d50_s2025_n50_m0.5,UMAP,50,50.0,0.5,2025,0.9238671839955976,0.12859424920127796,0.5865538772392377,-0.07824669033288956,0.6414011716842651,0.125,0.11348330078551451
umap_d50_s2026_n50_m0.5,UMAP,50,50.0,0.5,2026,0.9247960216495204,0.1360756123535676,0.5889363641049775,-0.07279830425977707,0.6333796381950378,0.125,0.11348330078551451
umap_d50_s2024_n100_m0,UMAP,50,100.0,0.0,2024,0.93104706525719,0.14832268370607027,0.555547366229743,-0.1088501587510109,0.7246716618537903,0.11504424778761062,0.015854252495790505
umap_d50_s2025_n100_m0,UMAP,50,100.0,0.0,2025,0.9300853579858683,0.15023961661341856,0.5744511153599724,-0.10823170840740204,0.7212628722190857,0.11504424778761062,0.015854252495790505
umap_d50_s2026_n100_m0,UMAP,50,100.0,0.0,2026,0.9305366042841463,0.1487220447284345,0.5846702583927104,-0.09942860901355743,0.7220429182052612,0.09565217391304348,0.015854252495790505
umap_d50_s2024_n100_m0.1,UMAP,50,100.0,0.1,2024,0.9286590762854134,0.14494142705005325,0.579015018427423,-0.1003466323018074,0.7117027044296265,0.125,0.056949054532844205
umap_d50_s2025_n100_m0.1,UMAP,50,100.0,0.1,2025,0.9291490192341454,0.14427582534611288,0.5689720482677754,-0.1040165051817894,0.7078015804290771,0.10526315789473684,0.056949054532844205
umap_d50_s2026_n100_m0.1,UMAP,50,100.0,0.1,2026,0.9288366022666836,0.1440894568690096,0.5784071237769278,-0.08073911815881729,0.6871685981750488,0.09565217391304348,0.056949054532844205
umap_d50_s2024_n100_m0.5,UMAP,50,100.0,0.5,2024,0.9237102618881132,0.125692225772098,0.5925359132354062,-0.07340636104345322,0.6342709064483643,0.10526315789473684,0.08939387901497411
umap_d50_s2025_n100_m0.5,UMAP,50,100.0,0.5,2025,0.923301854477415,0.12601171458998933,0.5869836351890585,-0.07578232884407043,0.636635959148407,0.125,0.08939387901497411
umap_d50_s2026_n100_m0.5,UMAP,50,100.0,0.5,2026,0.9248152841252733,0.13027156549520766,0.5881713067841737,-0.0725877657532692,0.6497172713279724,0.06779661016949153,0.08939387901497411
